size,label,n,median_ms,p25_ms,p75_ms,mean_ms,std_ms,min_ms,max_ms,best_median_ms,rel_to_best,speedup_vs_best
25MiB,serde-yaml (norway),64,429.07105452417454,428.80770236995966,429.4309532352941,429.38181805486454,1.0360872322439052,427.986878,433.1884176739131,290.8437319223947,1.4752631995475247,0.6778451467553099
25MiB,serde-yml,64,439.6184611821053,439.25377654166664,440.59422273437497,439.9211159796197,0.8366185019916403,438.77806575510203,442.486701375,290.8437319223947,1.5115280576148291,0.66158216181444
25MiB,serde-yaml,64,449.99364556666666,449.70697665277777,450.70527309848484,450.3449172326293,1.0852109909030234,449.0487705,454.23306028571426,290.8437319223947,1.5472007685788383,0.6463285310532371
25MiB,serde-yaml (ng),64,451.20543906358563,450.7626169121621,451.7386727317978,451.4845991274776,1.2380787626025997,450.11095822727276,456.681052,290.8437319223947,1.5513672448130325,0.64459269933891
25MiB,yaml-spanned,64,530.2744104957317,529.8029712359601,530.7434934181817,530.2702740127398,0.7424605224534666,528.2573565,532.31923,290.8437319223947,1.8232279134598088,0.5484777808729199
25MiB,serde-yaml (bw),64,558.1216402179487,557.9053138028846,558.4741241618644,558.4321403636424,1.204167822637239,557.2984095714286,565.227876,290.8437319223947,1.9189742771106764,0.5211117272012945
50MiB,serde-saphyr (budget=none),64,583.485580625,583.2281501875,583.91518740625,583.709606538086,0.8506108066906608,582.5415705,586.571549875,583.485580625,1.0,1.0
50MiB,serde-saphyr (budget=max),64,590.05951546875,589.6292462187499,590.4178190625,590.1041139072265,0.6155462584770716,589.1009316875,591.9924341875,583.485580625,1.011266662042802,0.9888588614005698
50MiB,serde-yaml (norway),64,858.8817322727273,858.2421866363636,860.0819440681819,859.3457853650568,1.500405416394124,857.1522823636363,863.0507784545455,583.485580625,1.4719845027750933,0.679354978340279
50MiB,serde-yml,64,879.8676489545454,879.2534663409091,880.6313729318182,880.1534657443182,1.2626970234644008,878.4559100909091,885.2324450909091,583.485580625,1.507950972862219,0.6631515334360739
50MiB,serde-yaml,64,902.1121802727273,901.4079835,902.9532486136363,902.9283831491477,2.4223961309281163,900.972993,910.4216355454545,583.485580625,1.5460745050570586,0.6467993597521321
50MiB,serde-yaml (ng),64,902.211784909091,900.6950370681817,902.8701395454545,902.10275196875,1.5668434296925617,899.9469477272728,908.2893370909092,583.485580625,1.5462452113087142,0.646727952776402
50MiB,yaml-spanned,64,1066.2534499444446,1064.998395722222,1067.9496997777778,1066.6095009027777,2.290199982423417,1062.8100724444444,1073.0616603333333,583.485580625,1.8273861177551778,0.5472297235290555
50MiB,serde-yaml (bw),64,1129.4803129444444,1128.7605757777776,1130.7928221944444,1130.0563437569444,1.8865515943103386,1127.3645086666668,1135.9986646666669,583.485580625,1.9357467441347955,0.516596503664513
